"","day","raw_count","sim_count","jar_id","rep_id","treatment","site"
"527",6,17,278,13,5,"14C","14C"
"528",9,6,218,13,5,"14C","14C"
"529",11,8,110,13,5,"14C","14C"
"530",14,4,106,13,5,"14C","14C"
"531",1,44,822,14,1,"14C","14C"
"532",3,26,408,14,1,"14C","14C"
"533",6,12,201,14,1,"14C","14C"
"534",9,8,103,14,1,"14C","14C"
"535",11,4,92,14,1,"14C","14C"
"536",14,6,82,14,1,"14C","14C"
"537",1,44,707,14,2,"14C","14C"
"538",3,26,488,14,2,"14C","14C"
"539",6,12,214,14,2,"14C","14C"
"540",9,8,123,14,2,"14C","14C"
"541",11,4,88,14,2,"14C","14C"
"542",14,6,79,14,2,"14C","14C"
"543",1,44,602,14,3,"14C","14C"
"544",3,26,444,14,3,"14C","14C"
"545",6,12,244,14,3,"14C","14C"
"546",9,8,167,14,3,"14C","14C"
"547",11,4,96,14,3,"14C","14C"
"548",14,6,75,14,3,"14C","14C"
"549",1,44,712,14,4,"14C","14C"
"550",3,26,460,14,4,"14C","14C"
"551",6,12,181,14,4,"14C","14C"
"552",9,8,113,14,4,"14C","14C"
"553",11,4,86,14,4,"14C","14C"
"554",14,6,66,14,4,"14C","14C"
"555",1,44,559,14,5,"14C","14C"
"556",3,26,401,14,5,"14C","14C"
"557",6,12,246,14,5,"14C","14C"
"558",9,8,144,14,5,"14C","14C"
"559",11,4,64,14,5,"14C","14C"
"560",14,6,51,14,5,"14C","14C"
"561",1,46,676,15,1,"14C","14C"
"562",3,17,437,15,1,"14C","14C"
"563",6,22,386,15,1,"14C","14C"
"564",9,15,258,15,1,"14C","14C"
"565",11,9,216,15,1,"14C","14C"
"566",14,8,121,15,1,"14C","14C"
"567",1,46,709,15,2,"14C","14C"
"568",3,17,394,15,2,"14C","14C"
"569",6,22,309,15,2,"14C","14C"
"570",9,15,244,15,2,"14C","14C"
"571",11,9,175,15,2,"14C","14C"
"572",14,8,150,15,2,"14C","14C"
"573",1,46,772,15,3,"14C","14C"
"574",3,17,334,15,3,"14C","14C"
"575",6,22,332,15,3,"14C","14C"
"576",9,15,259,15,3,"14C","14C"
"577",11,9,249,15,3,"14C","14C"
"578",14,8,128,15,3,"14C","14C"
"579",1,46,784,15,4,"14C","14C"
"580",3,17,278,15,4,"14C","14C"
"581",6,22,271,15,4,"14C","14C"
"582",9,15,256,15,4,"14C","14C"
"583",11,9,195,15,4,"14C","14C"
"584",14,8,101,15,4,"14C","14C"
"585",1,46,707,15,5,"14C","14C"
"586",3,17,347,15,5,"14C","14C"
"587",6,22,310,15,5,"14C","14C"
"588",9,15,278,15,5,"14C","14C"
"589",11,9,203,15,5,"14C","14C"
"590",14,8,78,15,5,"14C","14C"
"591",1,31,593,16,1,"14C","14C"
"592",3,23,501,16,1,"14C","14C"
"593",6,12,247,16,1,"14C","14C"
"594",9,13,200,16,1,"14C","14C"
"595",11,13,194,16,1,"14C","14C"
"596",14,10,183,16,1,"14C","14C"
"597",1,31,397,16,2,"14C","14C"
"598",3,23,305,16,2,"14C","14C"
"599",6,12,209,16,2,"14C","14C"
"600",9,13,194,16,2,"14C","14C"
"601",11,13,188,16,2,"14C","14C"
"602",14,10,174,16,2,"14C","14C"
"603",1,31,501,16,3,"14C","14C"
"604",3,23,374,16,3,"14C","14C"
"605",6,12,296,16,3,"14C","14C"
"606",9,13,233,16,3,"14C","14C"
"607",11,13,215,16,3,"14C","14C"
"608",14,10,206,16,3,"14C","14C"
"609",1,31,548,16,4,"14C","14C"
"610",3,23,334,16,4,"14C","14C"
"611",6,12,212,16,4,"14C","14C"
"612",9,13,205,16,4,"14C","14C"
"613",11,13,173,16,4,"14C","14C"
"614",14,10,145,16,4,"14C","14C"
"615",1,31,551,16,5,"14C","14C"
"616",3,23,520,16,5,"14C","14C"
"617",6,12,287,16,5,"14C","14C"
"618",9,13,272,16,5,"14C","14C"
"619",11,13,270,16,5,"14C","14C"
"620",14,10,263,16,5,"14C","14C"
"621",1,41,629,17,1,"14C","14C"
"622",3,25,450,17,1,"14C","14C"
"623",6,11,306,17,1,"14C","14C"
"624",9,17,240,17,1,"14C","14C"
"625",11,13,123,17,1,"14C","14C"
"626",14,12,123,17,1,"14C","14C"
"627",1,41,690,17,2,"14C","14C"
"628",3,25,483,17,2,"14C","14C"
"629",6,11,373,17,2,"14C","14C"
"630",9,17,316,17,2,"14C","14C"
"631",11,13,231,17,2,"14C","14C"
"632",14,12,161,17,2,"14C","14C"
"633",1,41,652,17,3,"14C","14C"
"634",3,25,502,17,3,"14C","14C"
"635",6,11,326,17,3,"14C","14C"
"636",9,17,244,17,3,"14C","14C"
"637",11,13,172,17,3,"14C","14C"
"638",14,12,133,17,3,"14C","14C"
"639",1,41,719,17,4,"14C","14C"
"640",3,25,356,17,4,"14C","14C"
"641",6,11,255,17,4,"14C","14C"
"642",9,17,216,17,4,"14C","14C"
"643",11,13,187,17,4,"14C","14C"
"644",14,12,170,17,4,"14C","14C"
"645",1,41,650,17,5,"14C","14C"
"646",3,25,537,17,5,"14C","14C"
"647",6,11,346,17,5,"14C","14C"
"648",9,17,281,17,5,"14C","14C"
"649",11,13,213,17,5,"14C","14C"
"650",14,12,182,17,5,"14C","14C"
"651",1,36,516,18,1,"14C","14C"
"652",3,21,492,18,1,"14C","14C"
"653",6,15,289,18,1,"14C","14C"
"654",9,9,144,18,1,"14C","14C"
"655",11,6,135,18,1,"14C","14C"
"656",14,6,62,18,1,"14C","14C"
"657",1,36,603,18,2,"14C","14C"
"658",3,21,402,18,2,"14C","14C"
