day,raw_count,sim_count,jar_id,rep_id,treatment,site
1,43,894,31,120,20C,20C
3,37,637,31,120,20C,20C
5,31,517,31,120,20C,20C
7,35,511,31,120,20C,20C
10,46,505,31,120,20C,20C
12,21,339,31,120,20C,20C
14,21,322,31,120,20C,20C
1,43,878,31,121,20C,20C
3,37,736,31,121,20C,20C
5,31,672,31,121,20C,20C
7,35,660,31,121,20C,20C
10,46,644,31,121,20C,20C
12,21,308,31,121,20C,20C
14,21,259,31,121,20C,20C
1,43,756,31,122,20C,20C
3,37,634,31,122,20C,20C
5,31,574,31,122,20C,20C
7,35,533,31,122,20C,20C
10,46,509,31,122,20C,20C
12,21,423,31,122,20C,20C
14,21,312,31,122,20C,20C
1,43,776,31,123,20C,20C
3,37,683,31,123,20C,20C
5,31,603,31,123,20C,20C
7,35,601,31,123,20C,20C
10,46,591,31,123,20C,20C
12,21,430,31,123,20C,20C
14,21,345,31,123,20C,20C
1,43,836,31,124,20C,20C
3,37,752,31,124,20C,20C
5,31,577,31,124,20C,20C
7,35,520,31,124,20C,20C
10,46,514,31,124,20C,20C
12,21,488,31,124,20C,20C
14,21,355,31,124,20C,20C
1,43,770,31,125,20C,20C
3,37,763,31,125,20C,20C
5,31,700,31,125,20C,20C
7,35,661,31,125,20C,20C
10,46,649,31,125,20C,20C
12,21,454,31,125,20C,20C
14,21,412,31,125,20C,20C
1,43,620,31,126,20C,20C
3,37,601,31,126,20C,20C
5,31,596,31,126,20C,20C
7,35,501,31,126,20C,20C
10,46,496,31,126,20C,20C
12,21,481,31,126,20C,20C
14,21,348,31,126,20C,20C
1,43,707,31,127,20C,20C
3,37,597,31,127,20C,20C
5,31,574,31,127,20C,20C
7,35,556,31,127,20C,20C
10,46,509,31,127,20C,20C
12,21,494,31,127,20C,20C
14,21,319,31,127,20C,20C
1,43,850,31,128,20C,20C
3,37,554,31,128,20C,20C
5,31,509,31,128,20C,20C
7,35,492,31,128,20C,20C
10,46,491,31,128,20C,20C
12,21,351,31,128,20C,20C
14,21,335,31,128,20C,20C
1,43,766,31,129,20C,20C
3,37,642,31,129,20C,20C
5,31,620,31,129,20C,20C
7,35,606,31,129,20C,20C
10,46,592,31,129,20C,20C
12,21,273,31,129,20C,20C
14,21,210,31,129,20C,20C
1,43,669,31,130,20C,20C
3,37,607,31,130,20C,20C
5,31,582,31,130,20C,20C
7,35,546,31,130,20C,20C
10,46,540,31,130,20C,20C
12,21,318,31,130,20C,20C
14,21,304,31,130,20C,20C
1,43,792,31,131,20C,20C
3,37,740,31,131,20C,20C
5,31,603,31,131,20C,20C
7,35,597,31,131,20C,20C
10,46,567,31,131,20C,20C
12,21,451,31,131,20C,20C
14,21,407,31,131,20C,20C
1,43,714,31,132,20C,20C
3,37,655,31,132,20C,20C
5,31,651,31,132,20C,20C
7,35,646,31,132,20C,20C
10,46,625,31,132,20C,20C
12,21,399,31,132,20C,20C
14,21,343,31,132,20C,20C
1,43,760,31,133,20C,20C
3,37,664,31,133,20C,20C
5,31,645,31,133,20C,20C
7,35,621,31,133,20C,20C
10,46,537,31,133,20C,20C
12,21,326,31,133,20C,20C
14,21,297,31,133,20C,20C
1,43,791,31,134,20C,20C
3,37,677,31,134,20C,20C
5,31,560,31,134,20C,20C
7,35,492,31,134,20C,20C
10,46,480,31,134,20C,20C
12,21,448,31,134,20C,20C
14,21,311,31,134,20C,20C
1,43,672,31,135,20C,20C
3,37,663,31,135,20C,20C
5,31,626,31,135,20C,20C
7,35,615,31,135,20C,20C
10,46,587,31,135,20C,20C
12,21,505,31,135,20C,20C
14,21,445,31,135,20C,20C
1,43,772,31,136,20C,20C
3,37,676,31,136,20C,20C
5,31,616,31,136,20C,20C
7,35,564,31,136,20C,20C
10,46,537,31,136,20C,20C
12,21,418,31,136,20C,20C
14,21,237,31,136,20C,20C
1,43,790,31,137,20C,20C
3,37,757,31,137,20C,20C
5,31,607,31,137,20C,20C
7,35,600,31,137,20C,20C
10,46,559,31,137,20C,20C
12,21,443,31,137,20C,20C
14,21,393,31,137,20C,20C
1,43,1003,31,138,20C,20C
3,37,747,31,138,20C,20C
5,31,677,31,138,20C,20C
7,35,635,31,138,20C,20C
10,46,632,31,138,20C,20C
12,21,537,31,138,20C,20C
14,21,456,31,138,20C,20C
1,43,764,31,139,20C,20C
3,37,725,31,139,20C,20C
5,31,641,31,139,20C,20C
7,35,640,31,139,20C,20C
10,46,624,31,139,20C,20C
12,21,548,31,139,20C,20C
14,21,379,31,139,20C,20C
1,43,858,31,140,20C,20C
